info
Welcome to Reliable Guild!
Participate in tournaments and follow events here.
All matches are automatically updated.

===
tournaments
Round 1 | Player1 vs Player2 | Ongoing
Round 1 | Player3 vs Player4 | Ongoing
Round 1 | Player5 vs Player6 | Ongoing
Round 1 | Player7 vs Player8 | Ongoing
Round 2 | Winner R1-1 vs Winner R1-2 | Locked
Round 2 | Winner R1-3 vs Winner R1-4 | Locked
Final | Winner R2-1 vs Winner R2-2 | Locked

===
events
Guild Meetup | Oct 7th | Meet members and socialize
Monthly PvP Event | Oct 20th | Compete for rewards
Discord Game Night | Oct 25th | Fun community games
